iter	Passed	Remaining
370	961	1629
371	963	1627
372	966	1624
373	969	1622
374	972	1620
375	974	1617
376	977	1614
377	979	1612
378	982	1609
379	984	1606
380	987	1604
381	989	1601
382	991	1597
383	993	1593
384	995	1590
385	998	1587
386	1004	1591
387	1007	1588
388	1009	1586
389	1012	1583
390	1013	1578
391	1017	1577
392	1020	1576
393	1022	1573
394	1025	1570
395	1026	1566
396	1029	1563
397	1033	1562
398	1035	1559
399	1037	1556
400	1040	1554
401	1042	1551
402	1045	1548
403	1049	1547
404	1051	1545
405	1054	1542
406	1056	1538
407	1058	1536
408	1061	1533
409	1065	1532
410	1067	1529
411	1069	1526
412	1072	1524
413	1075	1522
414	1078	1519
415	1080	1517
416	1083	1514
417	1085	1511
418	1086	1506
419	1089	1505
420	1092	1502
421	1095	1501
422	1098	1498
423	1101	1496
424	1104	1494
425	1106	1491
426	1109	1488
427	1112	1487
428	1114	1483
429	1117	1480
430	1119	1478
431	1122	1475
432	1124	1472
433	1128	1471
434	1131	1469
435	1134	1466
436	1136	1464
437	1138	1460
438	1140	1457
439	1144	1456
440	1147	1453
441	1149	1451
442	1152	1448
443	1154	1445
444	1157	1443
445	1160	1440
446	1162	1438
447	1165	1436
448	1168	1433
449	1170	1431
450	1173	1428
451	1177	1427
452	1178	1423
453	1181	1420
454	1183	1417
455	1185	1414
456	1187	1411
457	1191	1410
458	1194	1407
459	1196	1404
460	1197	1400
461	1200	1397
462	1202	1395
463	1205	1392
464	1208	1390
465	1209	1386
466	1212	1384
467	1215	1381
468	1217	1378
469	1219	1374
470	1221	1372
471	1224	1369
472	1226	1366
473	1229	1364
474	1232	1361
475	1235	1360
476	1238	1357
477	1241	1355
478	1244	1353
479	1246	1350
480	1249	1348
481	1251	1345
482	1254	1342
483	1256	1339
484	1258	1336
485	1260	1333
486	1263	1330
487	1264	1326
488	1267	1324
489	1269	1321
490	1271	1318
491	1273	1315
492	1276	1312
493	1278	1309
494	1280	1306
495	1282	1302
496	1284	1299
497	1286	1296
498	1289	1294
499	1291	1291
500	1294	1289
501	1296	1286
502	1299	1283
503	1302	1281
504	1305	1280
505	1308	1277
506	1311	1275
507	1313	1272
508	1317	1271
509	1320	1269
510	1323	1266
511	1325	1263
512	1330	1263
513	1333	1260
514	1334	1257
515	1337	1254
516	1340	1251
517	1342	1249
518	1344	1246
519	1347	1243
520	1349	1241
521	1352	1238
522	1354	1235
523	1357	1233
524	1360	1230
525	1364	1229
526	1367	1227
527	1370	1224
528	1372	1222
529	1375	1219
530	1378	1217
531	1381	1215
532	1384	1212
533	1387	1210
534	1389	1207
535	1391	1204
536	1392	1200
537	1395	1198
538	1399	1196
539	1402	1194
540	1404	1191
541	1406	1188
542	1408	1185
543	1411	1182
544	1413	1180
545	1416	1177
546	1418	1175
547	1421	1172
548	1423	1169
549	1425	1166
550	1429	1164
551	1431	1161
552	1433	1158
553	1435	1155
554	1438	1153
555	1440	1150
556	1443	1147
557	1445	1145
558	1448	1142
559	1452	1141
560	1454	1138
561	1457	1135
562	1459	1132
563	1461	1129
564	1464	1127
565	1466	1124
566	1469	1122
567	1471	1119
568	1473	1115
569	1476	1114
570	1478	1111
571	1481	1108
572	1483	1105
573	1486	1103
574	1489	1100
575	1492	1098
576	1494	1095
577	1497	1093
578	1499	1090
579	1501	1087
580	1503	1084
581	1505	1081
582	1507	1078
583	1510	1075
584	1512	1073
585	1515	1070
586	1517	1067
587	1520	1065
588	1523	1063
589	1526	1060
590	1529	1058
591	1530	1055
592	1533	1052
593	1536	1049
594	1540	1048
595	1542	1045
596	1544	1042
597	1546	1039
598	1548	1036
599	1551	1034
600	1555	1032
601	1558	1030
602	1560	1027
603	1562	1024
604	1564	1021
605	1567	1019
606	1569	1015
607	1571	1013
608	1573	1010
609	1575	1007
610	1577	1004
611	1580	1001
612	1582	999
613	1586	997
614	1589	994
615	1592	992
616	1595	990
617	1597	987
618	1600	985
619	1602	981
620	1605	979
621	1607	976
622	1609	974
623	1611	971
624	1614	968
625	1616	965
626	1618	963
627	1621	960
628	1622	957
629	1625	954
630	1627	951
631	1629	948
632	1632	946
633	1634	943
634	1636	940
635	1638	937
636	1640	934
637	1643	932
638	1645	929
639	1649	927
640	1652	925
641	1655	923
642	1658	920
643	1660	918
644	1663	915
645	1665	912
646	1668	910
647	1671	907
648	1673	905
649	1676	902
650	1679	900
651	1681	897
652	1683	894
653	1686	892
654	1690	890
655	1692	887
656	1694	884
657	1697	882
658	1700	879
659	1702	877
660	1705	874
661	1707	871
662	1710	869
663	1714	867
664	1716	864
665	1719	862
666	1721	859
667	1723	856
668	1725	853
669	1727	850
670	1730	848
671	1733	845
672	1735	843
673	1737	840
674	1740	838
675	1743	835
676	1745	832
677	1747	829
678	1750	827
679	1752	824
680	1755	822
681	1757	819
682	1760	816
683	1762	814
684	1765	811
685	1767	809
686	1770	806
687	1771	803
688	1773	800
689	1778	798
690	1781	796
691	1784	794
692	1786	791
693	1787	788
694	1789	785
695	1792	782
696	1794	780
697	1797	777
698	1801	775
699	1803	773
700	1807	770
701	1810	768
702	1813	766
703	1816	763
704	1819	761
705	1822	758
706	1824	756
707	1828	754
708	1831	751
709	1834	749
710	1837	747
711	1840	744
712	1842	741
713	1845	739
714	1848	736
715	1852	734
716	1854	732
717	1858	729
718	1862	727
719	1865	725
720	1868	722
721	1871	720
722	1874	718
723	1877	715
724	1879	713
725	1882	710
726	1884	707
727	1887	705
728	1890	702
729	1892	699
730	1894	697
731	1897	694
732	1899	692
733	1902	689
734	1904	686
735	1907	684
736	1909	681
737	1911	678
738	1914	676
739	1916	673
740	1920	671
741	1922	668
742	1925	666
743	1928	663
744	1930	660
745	1932	658
746	1942	657
747	1945	655
748	1947	652
749	1949	649
750	1952	647
751	1955	644
752	1957	642
753	1960	639
754	1962	636
755	1965	634
756	1967	631
757	1970	629
758	1973	626
759	1975	623
760	1978	621
761	1981	618
762	1985	616
763	1987	614
764	1989	611
765	1991	608
766	1993	605
767	1996	603
768	1998	600
769	2001	597
770	2004	595
771	2006	592
772	2009	590
773	2012	587
774	2015	585
775	2017	582
776	2019	579
777	2022	577
778	2025	574
779	2026	571
780	2029	569
781	2031	566
782	2033	563
783	2035	560
784	2038	558
785	2039	555
786	2041	552
787	2043	549
788	2047	547
789	2050	544
790	2052	542
791	2055	539
792	2057	537
793	2060	534
794	2063	532
795	2065	529
796	2067	526
797	2070	524
798	2072	521
799	2074	518
800	2077	516
801	2079	513
802	2082	510
803	2084	508
804	2087	505
805	2089	503
806	2092	500
807	2095	497
808	2098	495
809	2100	492
810	2103	490
811	2104	487
812	2107	484
813	2110	482
814	2113	479
815	2115	477
816	2118	474
817	2120	471
818	2122	469
819	2124	466
820	2126	463
821	2129	461
822	2131	458
823	2133	455
824	2135	452
825	2137	450
826	2139	447
827	2142	445
828	2146	442
829	2148	440
830	2151	437
831	2154	434
832	2155	432
833	2159	429
834	2162	427
835	2164	424
836	2166	421
837	2169	419
838	2172	416
839	2175	414
840	2178	411
841	2180	409
842	2183	406
843	2185	403
844	2188	401
845	2190	398
846	2193	396
847	2195	393
848	2197	390
849	2199	388
850	2201	385
851	2205	383
852	2208	380
853	2210	377
854	2213	375
855	2215	372
856	2217	370
857	2221	367
858	2223	365
859	2226	362
860	2229	359
861	2231	357
862	2234	354
863	2237	352
864	2239	349
865	2243	347
866	2245	344
867	2248	341
868	2250	339
869	2253	336
870	2256	334
871	2258	331
872	2261	328
873	2263	326
874	2266	323
875	2270	321
876	2272	318
877	2275	316
878	2277	313
879	2279	310
880	2282	308
881	2285	305
882	2287	303
883	2290	300
884	2292	297
885	2295	295
886	2296	292
887	2299	290
888	2302	287
889	2304	284
890	2306	282
891	2308	279
892	2311	276
893	2314	274
894	2317	271
895	2321	269
896	2323	266
897	2326	264
898	2328	261
899	2331	259
900	2334	256
901	2337	253
902	2339	251
903	2342	248
904	2343	246
905	2346	243
906	2349	240
907	2351	238
908	2354	235
909	2356	233
910	2358	230
911	2361	227
912	2364	225
913	2367	222
914	2370	220
915	2372	217
916	2375	214
917	2378	212
918	2381	209
919	2383	207
920	2386	204
921	2388	202
922	2391	199
923	2393	196
924	2397	194
925	2399	191
926	2402	189
927	2404	186
928	2407	183
929	2409	181
930	2412	178
931	2415	176
932	2417	173
933	2420	171
934	2423	168
935	2425	165
936	2428	163
937	2432	160
938	2434	158
939	2437	155
940	2439	152
941	2441	150
942	2444	147
943	2446	145
944	2449	142
945	2452	139
946	2454	137
947	2456	134
948	2460	132
949	2462	129
950	2464	126
951	2467	124
952	2469	121
953	2471	119
954	2475	116
955	2477	114
956	2480	111
957	2482	108
958	2485	106
959	2489	103
960	2491	101
961	2494	98
962	2496	95
963	2499	93
964	2502	90
965	2505	88
966	2508	85
967	2510	83
968	2513	80
969	2516	77
970	2518	75
971	2522	72
972	2525	70
973	2528	67
974	2530	64
975	2533	62
976	2537	59
977	2539	57
978	2542	54
979	2544	51
980	2547	49
981	2549	46
982	2552	44
983	2555	41
984	2558	38
985	2560	36
986	2563	33
987	2565	31
988	2568	28
989	2571	25
990	2574	23
991	2576	20
992	2579	18
993	2581	15
994	2584	12
995	2587	10
996	2589	7
997	2592	5
998	2594	2
999	2597	0
